feature,importance
success_score,0.9999999999999516
caps_ratio,2.219848121004709e-14
like_ratio,8.720307644185339e-15
tweet_length,4.134065834058782e-15
sentiment_polarity,3.6574609603344785e-15
reply_ratio,3.4786710515628948e-15
word_count,2.1451840310785045e-15
hour,1.4152079340137481e-15
engagement_value,8.075655066111701e-16
user_id,6.6405266922972e-16
like_to_retweet_ratio,4.328891093287315e-16
retweets,3.7051758899673044e-16
likes,3.0063297879473835e-16
total_interactions,4.509861475134705e-17
mention_count,1.4128433928059175e-17
is_peak_hours,0.0
retweet_ratio,0.0
is_neutral,0.0
is_negative,0.0
is_positive,0.0
replies,0.0
days_since_last_tweet,0.0
is_business_hours,0.0
url_count,0.0
is_weekend,0.0
month,0.0
quotes,0.0
has_exclamation,0.0
has_question,0.0
hashtag_count,0.0
emoji_count,0.0
has_ellipsis,0.0
day_of_week,-1.1938225931253812e-21
